"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",".@MarshaBlackburn is a wonderful woman who has always been there when we have needed her. Great on the Military, Bo… https://t.co/ljbsW8m8k6",FALSE,8726,NA,2018-04-19 18:40:12,TRUE,NA,"987038167730552832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",2305,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"2","THANK YOU #JIATFSouth, @Norad_Northcom, @southcomwatch and @DHSgov. Keep up the GREAT work! https://t.co/3v2uG6Jp1T",FALSE,5825,NA,2018-04-19 18:33:24,FALSE,NA,"987036458648199168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",1384,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"3","Just arrived @NASKeyWest! Heading to a briefing with the Joint Interagency Task Force South, NORTHCOM and SOUTHCOM. https://t.co/r906IXnBcG",FALSE,20233,NA,2018-04-19 16:23:52,FALSE,NA,"987003860882526208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4736,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"4","Governor Jerry Brown announced he will deploy “up to 400 National Guard Troops” to do nothing. The crime rate in Ca… https://t.co/I1ag2ckky1",FALSE,40757,NA,2018-04-19 15:48:38,TRUE,NA,"986994992177561600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10692,FALSE,FALSE,NA,NA,1,0,0,1,0,0,0,2,1,1
"5","Thank you San Diego County for defending the rule of law and supporting our lawsuit against California's illegal an… https://t.co/4mH0InRGwt",FALSE,48170,NA,2018-04-19 15:23:22,TRUE,NA,"986988633822412800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11783,FALSE,FALSE,NA,NA,2,0,2,3,0,2,1,4,2,2
"6","Great meeting with Prime Minister Abe of Japan, who has just left Florida. Talked in depth about North Korea, Milit… https://t.co/Tv1QmZN4IE",FALSE,43059,NA,2018-04-19 14:45:14,TRUE,NA,"986979039670931458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9097,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,2
"7","It was my great honor to host my friend @JPN_PMO @AbeShinzo and his delegation at Mar-a-Lago for the past two days.… https://t.co/MjT3f7BAv3",FALSE,51460,NA,2018-04-19 02:58:21,TRUE,NA,"986801143014621185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12225,FALSE,FALSE,NA,NA,0,0,0,0,1,0,0,2,0,2
"8","Great working luncheon with U.S. and Japanese Delegations this afternoon! https://t.co/ywU2CEih8b",FALSE,55534,NA,2018-04-18 21:32:53,FALSE,NA,"986719240240746497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11213,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1
"9","Prime Minister @AbeShinzo of Japan and myself this morning building an even deeper and better relationship while pl… https://t.co/3paSdvrOWu",FALSE,65417,NA,2018-04-18 21:00:12,TRUE,NA,"986711015630036992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13724,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1
"10","Best wishes to Prime Minister @Netanyahu and all of the people of Israel on the 70th Anniversary of your Great Inde… https://t.co/xRwM6h8nfl",FALSE,92090,NA,2018-04-18 16:30:39,TRUE,NA,"986643179452747776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22138,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1
